"Message",Low,"Starting .NET Native compilation"
"Message",Low,""
"Message",Low,""
"Message",Low,"Task ""Gatekeeper"""
"Message",Normal,"Launching 'C:\Users\trinh\.nuget\packages\microsoft.net.native.compiler\1.7.3\tools\x86\ilc\Tools\Gatekeeper.exe @""E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.7.25927.00 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Aliswork.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Aliswork.UWP.exe'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\ImageCircle.Forms.Plugin.Abstractions.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\ImageCircle.Forms.Plugin.UWP.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Newtonsoft.Json.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Plugin.Connectivity.Abstractions.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Plugin.Connectivity.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Plugin.DeviceInfo.Abstractions.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Plugin.DeviceInfo.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Plugin.Geolocator.Abstractions.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Plugin.Geolocator.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Plugin.Media.Abstractions.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Plugin.Media.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Plugin.Permissions.Abstractions.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Plugin.Permissions.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\System.Net.Http.Extensions.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Xamarin.Forms.Core.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Xamarin.Forms.Platform.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Xamarin.Forms.Platform.UAP.dll'. "
"Message",Low,"Checking assembly 'E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Xamarin.Forms.Xaml.dll'. "
"Message",Normal,"'C:\Users\trinh\.nuget\packages\microsoft.net.native.compiler\1.7.3\tools\x86\ilc\Tools\Gatekeeper.exe @""E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\intermediate\gkargs.rsp""' completed."
"Message",Normal,"Process execution statistics (all times in milliseconds)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"launch  |  start   |   stop   |   end    | duration | lifetime | [slot] name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"      16 |       63 |     2782 |     2782 |     2719 |     2766 | [0] Gatekeeper"
"Message",Normal,"Number of commands:      1"
"Message",Normal,"Total system time:       2782 ms"
"Message",Normal,"System time per command: 2782 ms"
"Message",Normal,"Total duration:          2719 ms"
"Message",Normal,"Total lifetime:          2766 ms"
"Message",Normal,"Requested DOP:           4"
"Message",Normal,"Duration DOP:            1.0"
"Message",Normal,"Lifetime DOP:            1.0"
"Message",Low,"Done executing task ""Gatekeeper""."
"Message",Low,"Done building target ""RunGatekeeper"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""InjectWindowsRuntimeTypeForwards"""
"Message",Normal,"Running 'InjectWindowsRuntimeTypeForwards' transform, heap at 13 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 17 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"  1449 |          4 | InjectWindowsRuntimeTypeForwards"
"Message",Normal,"   745 |          2 | WriteAssemblies"
"Message",Low,"Done executing task ""InjectWindowsRuntimeTypeForwards""."
"Message",Low,"Done building target ""InjectWindowRuntimeTypeForwards"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""PreResolveAssemblyClosure"""
"Message",Low,"Done executing task ""PreResolveAssemblyClosure""."
"Message",Low,"Task ""PreResolveTransforms"""
"Message",Normal,"Running 'ResolveSelfReferences' transform, heap at 22 MB."
"Message",Normal,"Running 'RemoveDuplicateMembers' transform, heap at 81 MB."
"Message",Normal,"Running 'PortableLib' transform, heap at 81 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 169 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"  1321 |         59 | ResolveSelfReferences"
"Message",Normal,"  1290 |         88 | PortableLib"
"Message",Normal,"  1120 |        -79 | WriteAssemblies"
"Message",Normal,"    26 |          0 | RemoveDuplicateMembers"
"Message",Low,"Done executing task ""PreResolveTransforms""."
"Message",Low,"Done building target ""PreResolveTransforms"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""InitialAssemblyClosure"""
"Message",Low,"Done executing task ""InitialAssemblyClosure""."
"Message",Low,"Task ""ResolveInitialReferencesAssemblyClosure1"""
"Message",Low,"Done executing task ""ResolveInitialReferencesAssemblyClosure1""."
"Message",Low,"Task ""ResolveInitialReferencesAssemblyClosure2"""
"Message",Low,"Done executing task ""ResolveInitialReferencesAssemblyClosure2""."
"Message",Low,"Done building target ""ResolveInitialReferences"" in file ""Preparation""."
"Message",Low,"Done building project ""Preparation""."
"Message",Low,""
"Message",Low,""
"Message",High,"Processing application code"
"Message",Low,"Task ""ValidateSimpleNames"""
"Message",Low,"Done executing task ""ValidateSimpleNames""."
"Message",Low,"Task ""McgContractsResolveFilePath"""
"Message",Low,"Done executing task ""McgContractsResolveFilePath""."
"Message",Low,"Task ""McgFacadeResolveFilePath"""
"Message",Low,"Done executing task ""McgFacadeResolveFilePath""."
"Message",Low,"Task ""FinalAssemblyClosureRootsResolveFilePaths"""
"Message",Low,"Done executing task ""FinalAssemblyClosureRootsResolveFilePaths""."
"Message",Low,"Task ""FinalAssemblyClosure"""
"Message",Low,"Done executing task ""FinalAssemblyClosure""."
"Message",Low,"Task ""RunILTransforms"""
"Message",Normal,"Running 'Analysis' transform, heap at 14 MB."
"Message",Low,"Loading 108 modules..."
"Message",Normal,"Imported reflection directives from 23 files:"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Properties\Default.rd.xml"
"Message",Normal,"Embedded manifest in System.Diagnostics.Tracing: Resources.System.Diagnostics.Tracing.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Reflection: System.Private.Reflection.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.CoreLib: Resources.System.Private.CoreLib.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Uri: Resources.System.Private.Uri.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Reflection.Core: System.Private.Reflection.Core.rd.xml"
"Message",Normal,"Embedded manifest in System.Linq.Expressions: Resources.System.Linq.Expressions.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.PortableThunks: Resources.System.Private.PortableThunks.rd.xml"
"Message",Normal,"Embedded manifest in System.Xml.ReaderWriter: System.Xml.Resources.System.Xml.ReaderWriter.rd.xml"
"Message",Normal,"Embedded manifest in System.Dynamic.Runtime: Resources.System.Dynamic.Runtime.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.DataContractSerialization: System.Private.DataContractSerialization.Resources.System.Private.DataContractSerialization.rd.xml"
"Message",Normal,"Embedded manifest in System.Runtime.Serialization.Primitives: System.Runtime.Serialization.Primitives.Resources.System.Runtime.Serialization.Primitives.rd.xml"
"Message",Normal,"Embedded manifest in System.Xml.XDocument: System.Xml.Resources.System.Xml.XDocument.rd.xml"
"Message",Normal,"Embedded manifest in Microsoft.CSharp: Microsoft.CSharp.Resources.Microsoft.CSharp.rd.xml"
"Message",Normal,"Embedded manifest in System.Xml.XmlSerializer: System.Xml.XmlSerializer.Resources.System.Xml.XmlSerializer.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Interop: Resources.System.Private.Interop.rd.xml"
"Message",Normal,"Embedded manifest in Plugin.Connectivity: Plugin.Connectivity.Properties.Plugin.Connectivity.rd.xml"
"Message",Normal,"Embedded manifest in Plugin.DeviceInfo: Plugin.DeviceInfo.Properties.Plugin.DeviceInfo.rd.xml"
"Message",Normal,"Embedded manifest in Plugin.Geolocator: Plugin.Geolocator.Properties.Plugin.Geolocator.rd.xml"
"Message",Normal,"Embedded manifest in Plugin.Media: Plugin.Media.Properties.Plugin.Media.rd.xml"
"Message",Normal,"Embedded manifest in Plugin.Permissions: Plugin.Permissions.Properties.Plugin.Permissions.rd.xml"
"Message",Normal,"Embedded manifest in Xamarin.Forms.Platform.UAP: Xamarin.Forms.Platform.UAP.Properties.Xamarin.Forms.Platform.UAP.rd.xml"
"Message",Normal,"Newtonsoft.Json"
"Message",Normal,"Imported XAML Roots from 2 files:"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Aliswork.UWP.xr.xml"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Xamarin.Forms.Platform.UAP\Xamarin.Forms.Platform.UAP.xr.xml"
"Message",Normal,"Running 'Mcg' transform, heap at 298 MB."
"Message",High,"Computing application closure and generating interop code"
"Message",Normal,"  List of .lib files:"
"Message",Normal,"      WindowsApp.lib"
"Message",Normal,"      winsqlite3.lib"
"Message",Normal,"  List of .lib search paths:"
"Message",Normal,"      C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86"
"Message",Normal,"  Loading exports from libs..."
"Message",Normal,"      3117 exports read from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",Normal,"      238 exports read from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\winsqlite3.lib'."
"Message",High,"  Loading 108 modules..."
"Message",Normal,"          P/Invoke 'RhWaitForPendingFinalizers' with [DllImport(ExactSpelling=true)] resolved to '[MRT]!RhWaitForPendingFinalizers'."
"Message",Normal,"          P/Invoke 'RhYield' with [DllImport(ExactSpelling=true)] resolved to '[MRT]!RhYield'."
"Message",Normal,"          P/Invoke 'RhCompatibleReentrantWaitAny' with [DllImport(ExactSpelling=true)] resolved to '[MRT]!RhCompatibleReentrantWaitAny'."
"Message",Normal,"          P/Invoke '_ecvt_s' with [DllImport(ExactSpelling=true)] resolved to '[MRT]!_ecvt_s'."
"Message",Normal,"          P/Invoke 'memmove' with [DllImport(ExactSpelling=true)] resolved to '[MRT]!memmove'."
"Message",Normal,"          P/Invoke 'CallingConventionConverter_GetStubs' with [DllImport(ExactSpelling=true)] resolved to '*!CallingConventionConverter_GetStubs'."
"Message",Normal,"          P/Invoke 'GetLastError' resolved to 'api-ms-win-core-errorhandling-l1-1-0.dll!GetLastError' from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",Normal,"          P/Invoke 'RoInitialize' resolved to 'api-ms-win-core-winrt-l1-1-0.dll!RoInitialize' from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",Normal,"          P/Invoke 'IsValidLocaleName' resolved to 'api-ms-win-core-localization-l1-2-0.dll!IsValidLocaleName' from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",Normal,"          P/Invoke 'ResolveLocaleName' resolved to 'api-ms-win-core-localization-l1-2-0.dll!ResolveLocaleName' from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",Normal,"          P/Invoke 'GetCPInfoExW' resolved to 'api-ms-win-core-localization-l1-2-0.dll!GetCPInfoExW' from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",Normal,"          P/Invoke 'RoGetBufferMarshaler' resolved to 'api-ms-win-core-winrt-robuffer-l1-1-0.dll!RoGetBufferMarshaler' from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",Normal,"          P/Invoke 'CoCreateInstance' with [DllImport(ExactSpelling=true)] resolved to 'api-ms-win-core-com-l1-1-0.dll!CoCreateInstance'."
"Message",Normal,"          P/Invoke '#6' resolved to 'oleaut32.dll!#6' from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",Normal,"          P/Invoke 'RtlIpv6AddressToStringExW' resolved to 'ntdll.dll!RtlIpv6AddressToStringExW' from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",Normal,"          P/Invoke 'RtlIpv4AddressToStringExW' resolved to 'ntdll.dll!RtlIpv4AddressToStringExW' from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",Normal,"          P/Invoke 'FormatMessageW' resolved to 'api-ms-win-core-localization-l1-2-0.dll!FormatMessageW' from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.16299.0\um\x86\WindowsApp.lib'."
"Message",High,"  Generating code..."
"Message",High,"  Interop code generated."
"Message",Normal,"  Written code to AssemblyInfo.g.cs"
"Message",Normal,"  Written code to Adapters.g.cs"
"Message",Normal,"  Written code to Data.g.cs"
"Message",Normal,"  Written code to Helpers.g.cs"
"Message",Normal,"  Written code to ImplTypes.g.cs"
"Message",Normal,"  Written code to PInvoke.g.cs"
"Message",Normal,"  Written code to SafeTypes.g.cs"
"Message",Normal,"  Written code to SharedStubs.g.cs"
"Message",Normal,"Running 'GenerateCodeAndCompile' transform, heap at 329 MB."
"Message",High,"Generating serialization code"
"Message",High,"Compiling interop code"
"Message",Normal,"Compiling generated source code: C:\Users\trinh\.nuget\packages\microsoft.net.native.compiler\1.7.3\tools\x86\ilc\csc\csc.exe /noconfig @""E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\intermediate\Aliswork.UWP.McgInterop.rsp"""
"Message",Normal,"The assembly 'Aliswork.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/intermediate/PreMergeILTransformed/Aliswork.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Aliswork.dll"
"Message",Normal,"The assembly 'Newtonsoft.Json.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/intermediate/PreMergeILTransformed/Newtonsoft.Json.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Newtonsoft.Json.dll"
"Message",Normal,"The assembly 'System.Net.Http.Extensions.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/intermediate/PreMergeILTransformed/System.Net.Http.Extensions.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\System.Net.Http.Extensions.dll"
"Message",Normal,"The type 'System.Net.Sockets.IPAddressExtensions' is found in more than one assembly."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/in/System.Net.NameResolution.dll"
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/in/System.Net.Sockets.dll"
"Message",Normal,"The assembly 'System.Runtime.WindowsRuntime.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/intermediate/TransformedSRWR/System.Runtime.WindowsRuntime.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\System.Runtime.WindowsRuntime.dll"
"Message",Normal,"The assembly 'Xamarin.Forms.Core.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/intermediate/PreMergeILTransformed/Xamarin.Forms.Core.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Xamarin.Forms.Core.dll"
"Message",Normal,"The assembly 'Xamarin.Forms.Xaml.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/intermediate/PreMergeILTransformed/Xamarin.Forms.Xaml.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Xamarin.Forms.Xaml.dll"
"Message",Normal,"The assembly 'Aliswork.UWP.exe' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/intermediate/PreMergeILTransformed/Aliswork.UWP.exe"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Aliswork.UWP.exe"
"Message",Normal,"The assembly 'Aliswork.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/intermediate/PreMergeILTransformed/Aliswork.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Aliswork.dll"
"Message",Normal,"The assembly 'ImageCircle.Forms.Plugin.Abstractions.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/in/ImageCircle.Forms.Plugin.Abstractions.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\ImageCircle.Forms.Plugin.Abstractions.dll"
"Message",Normal,"The assembly 'ImageCircle.Forms.Plugin.UWP.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/in/ImageCircle.Forms.Plugin.UWP.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\ImageCircle.Forms.Plugin.UWP.dll"
"Message",Normal,"The assembly 'Microsoft.CSharp.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/in/Microsoft.CSharp.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Microsoft.CSharp.dll"
"Message",Normal,"The assembly 'Microsoft.VisualBasic.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/in/Microsoft.VisualBasic.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Microsoft.VisualBasic.dll"
"Message",Normal,"The assembly 'Microsoft.Win32.Primitives.dll' is found in more than one folder."
"Message",Normal,"file:///E:/work/Aliswork/Aliswork/Aliswork.UWP/obj/x86/Release/ilc/in/Microsoft.Win32.Primitives.dll"
"Message",Normal,"E:\work\Aliswork\Aliswork\Aliswork.UWP\obj\x86\Release\ilc\in\Microsoft.Win32.Primitives.dll"
"Message",Normal,"The assembly 'mscorlib.dll' is found in more than one folder."
